From,To,Distance_km,Road_Condition,Risk_Factor,Travel_Time_min
N01,N04,2.5,Good,0,5.0
N04,N16,2.1,Good,0,4.2
N16,N02,2.8,Good,0,5.6
N08,N19,2.3,Good,0,4.6
N19,N16,2.6,Good,0,5.2
N10,N12,1.9,Good,0,3.8
N12,N21,2.7,Good,0,5.4
N15,N09,2.1,Good,0,4.2
N09,N36,2.6,Good,0,5.2
N20,N17,2.0,Good,0,4.0
N17,N06,2.2,Good,0,4.4
N26,N19,1.8,Good,0,3.6
N27,N37,2.4,Good,0,4.8
N02,N07,4.2,Moderate,0,12.6
N07,N23,3.8,Moderate,0,11.4
N23,N28,3.5,Moderate,0,10.5
N28,N14,4.0,Moderate,0,12.0
N14,N22,3.7,Moderate,0,11.1
N22,N02,3.3,Moderate,0,9.9
N16,N30,2.5,Good,0,5.0
N30,N25,2.9,Good,0,5.8
N25,N29,2.0,Good,0,4.0
N04,N17,2.2,Good,0,4.4
N17,N14,1.8,Good,0,3.6
N14,N06,2.4,Good,0,4.8
N19,N11,2.7,Good,0,5.4
N11,N21,2.3,Good,0,4.6
N21,N09,2.5,Good,0,5.0
N12,N18,2.8,Good,0,5.6
N18,N09,3.1,Good,0,6.2
N09,N23,2.8,Good,0,5.6
N23,N06,2.3,Good,0,4.6
N06,N25,1.9,Good,0,3.8
N25,N28,2.7,Good,0,5.4
N28,N29,3.4,Good,0,6.8
N29,N22,2.1,Good,0,4.2
N31,N16,1.8,Good,0,3.6
N31,N19,2.0,Good,0,4.0
N32,N19,1.5,Good,0,3.0
N32,N11,2.2,Good,0,4.4
N33,N12,1.7,Good,0,3.4
N33,N18,2.3,Good,0,4.6
N34,N25,1.9,Good,0,3.8
N34,N06,2.1,Good,0,4.2
N35,N19,1.6,Good,0,3.2
N35,N30,2.4,Good,0,4.8
N37,N16,1.9,Good,0,3.9
