Location,Stock_Level,Supply_Type,Vehicle_Capacity
N02,200,Water,50
N02,150,Food,50
N02,100,Medicine,50
N06,300,Water,150
N06,250,Food,150
N06,200,Medicine,150
N07,300,Food,50
N07,200,Water,50
N07,150,Medicine,50
N09,250,Food,100
N09,200,Water,100
N09,150,Medicine,100
N11,200,Water,150
N11,150,Food,150
N11,100,Medicine,150
N14,250,Medicine,100
N14,200,Food,100
N14,150,Water,100
N16,200,Medicine,100
N16,150,Food,100
N16,100,Water,100
N18,200,Water,150
N18,150,Food,150
N18,100,Medicine,150
N21,300,Water,150
N21,250,Food,150
N21,200,Medicine,150
N22,200,Water,100
N22,150,Food,100
N22,100,Medicine,100
N23,250,Food,50
N23,200,Water,50
N23,150,Medicine,50
N25,200,Food,100
N25,150,Water,100
N25,100,Medicine,100
N28,250,Medicine,150
N28,200,Food,150
N28,150,Water,150
N29,200,Medicine,150
N29,150,Food,150
N29,100,Water,150
N30,200,Medicine,100
N30,150,Food,100
N30,100,Water,100
N03,500,Water,200
N03,500,Food,200
N03,300,Medicine,200
N05,600,Water,250
N05,600,Food,250
N05,400,Medicine,250
N13,400,Water,200
N13,400,Food,200
N13,250,Medicine,200
N24,550,Water,250
N24,550,Food,250
N24,350,Medicine,250
